,Date,Open,High,Low,Close,Volume,Adj Close
944,2018-11-09,9921.78,9921.78,9798.45,9830.01,102758206,9830.01
945,2018-11-12,9806.8,9875.84,9764.46,9831.21,91773138,9831.21
946,2018-11-13,9727.17,9777.35,9616.16,9775.84,113499302,9775.84
947,2018-11-14,9799.69,9823.25,9763.89,9791.88,104728194,9791.88
948,2018-11-15,9806.58,9844.39,9755.12,9826.46,98471209,9826.46
949,2018-11-16,9819.05,9851.29,9770.87,9797.09,118255028,9797.09
950,2018-11-19,9795.47,9836.02,9779.4,9828.69,93254849,9828.69
951,2018-11-20,9788.95,9800.03,9726.8,9743.99,94008901,9743.99
952,2018-11-21,9698.52,9753.69,9632.47,9741.52,102767422,9741.52
953,2018-11-22,9769.33,9792.99,9702.77,9714.71,99885638,9714.71
954,2018-11-23,9730.64,9738.8,9654.91,9667.3,77557384,9667.3
955,2018-11-26,9679.98,9847.35,9679.98,9765.36,91104691,9765.36
956,2018-11-27,9728.95,9781.4,9688.74,9778.62,101892393,9778.62
957,2018-11-28,9774.03,9890.89,9767.14,9884.31,128734696,9884.31
958,2018-11-29,9959.87,10001.85,9885.36,9885.36,144250279,9885.36
959,2018-11-30,9899.24,9957.63,9888.03,9888.03,171330291,9888.03
960,2018-12-03,9979.21,10148.75,9979.21,10137.87,170729899,10137.87
961,2018-12-04,10120.43,10126.02,10061.7,10083.54,145775659,10083.54
962,2018-12-05,9971.98,9971.98,9895.29,9916.74,115520209,9916.74
963,2018-12-06,9850.08,9850.08,9664.75,9684.72,144302607,9684.72
964,2018-12-07,9719.46,9785.2,9719.46,9760.88,99263598,9760.88
965,2018-12-10,9722.97,9722.97,9626.47,9647.54,100498343,9647.54
966,2018-12-11,9661.72,9720.96,9661.72,9707.04,92803243,9707.04
967,2018-12-12,9741.45,9835.56,9741.45,9816.45,102401002,9816.45
968,2018-12-13,9827.32,9871.96,9815.5,9858.76,113887602,9858.76
969,2018-12-14,9818.95,9818.95,9718.94,9774.16,97548330,9774.16
970,2018-12-17,9762.49,9826.88,9733.98,9787.53,80679374,9787.53
971,2018-12-18,9756.46,9756.67,9701.1,9718.82,96717304,9718.82
972,2018-12-19,9720.92,9783.21,9720.92,9783.21,91299708,9783.21
973,2018-12-20,9729.29,9741.55,9658.5,9674.52,95625771,9674.52
974,2018-12-21,9648.98,9683.95,9585.32,9676.67,112464585,9676.67
975,2018-12-22,9639.24,9652.19,9625.31,9646.16,38712599,9646.16
976,2018-12-24,9646.53,9658.95,9613.29,9639.7,69036779,9639.7
977,2018-12-25,9559.7,9559.7,9479.06,9527.09,73621130,9527.09
978,2018-12-26,9544.87,9591.91,9473.3,9478.99,69620545,9478.99
979,2018-12-27,9555.01,9670.97,9555.01,9641.56,82030943,9641.56
980,2018-12-28,9649.97,9727.41,9630.77,9727.41,74821387,9727.41
981,2019-01-02,9725.27,9737.68,9542.52,9554.14,72547774,9554.14
982,2019-01-03,9494.25,9554.53,9474.47,9492.42,91094097,9492.42
983,2019-01-04,9427.24,9427.24,9319.28,9382.51,108007521,9382.51
984,2019-01-07,9460.2,9596.35,9460.2,9590.3,93583261,9590.3
985,2019-01-08,9591.56,9600.94,9547.63,9563.6,78623715,9563.6
986,2019-01-09,9584.63,9741.64,9584.63,9738.31,128770567,9738.31
987,2019-01-10,9731.11,9731.11,9683.2,9720.69,89312480,9720.69
988,2019-01-11,9753.63,9796.98,9736.0,9759.4,95336080,9759.4
989,2019-01-14,9737.67,9762.37,9677.49,9708.22,72773851,9708.22
990,2019-01-15,9701.93,9806.04,9701.93,9806.04,100502894,9806.04
991,2019-01-16,9781.35,9803.99,9763.81,9763.81,96069074,9763.81
992,2019-01-17,9773.31,9826.25,9759.51,9789.15,93111194,9789.15
993,2019-01-18,9781.39,9842.8,9771.15,9836.06,97921400,9836.06
994,2019-01-21,9870.27,9919.94,9870.27,9889.4,93904026,9889.4
995,2019-01-22,9880.54,9894.66,9855.47,9894.66,79010747,9894.66
996,2019-01-23,9869.54,9873.39,9828.03,9846.4,67550342,9846.4
997,2019-01-24,9865.0,9892.82,9847.32,9877.12,86041842,9877.12
998,2019-01-25,9923.39,9980.08,9918.21,9969.61,113788983,9969.61
